time_ms,time_sec,lanes,lane_count,duration_ms,type,section,pattern,intent
1200,1.200,D,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. opening riff anchor
1500,1.500,F,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. quick hand lift
2100,2.100,J,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. right response
2400,2.400,K,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. right cadence
3000,3.000,D+J,2,0,chord,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. first performance chord
3300,3.300,F,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. pickup
3600,3.600,K,1,0,tap,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. reverse riff anchor
3900,3.900,J,1,0,tap,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. quick reverse lift
4500,4.500,F,1,0,tap,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. left response
4800,4.800,D,1,0,tap,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. left cadence
5100,5.100,K,1,600,hold,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. short right hold
5700,5.700,J,1,0,tap,opening rehearsal,hard_intro_B,Reverse riff with a short right hold check. hold release pickup
6000,6.000,D,1,0,tap,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. call start
6300,6.300,F,1,0,tap,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. call continuation
6600,6.600,J,1,0,tap,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. answer start
6900,6.900,K,1,0,tap,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. answer continuation
7500,7.500,F+K,2,0,chord,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. bright chord accent
7950,7.950,D,1,0,tap,opening rehearsal,hard_intro_fill,Compact call-answer fill without overloading the intro. late pickup
8400,8.400,D,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. opening riff anchor
8700,8.700,F,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. quick hand lift
9300,9.300,J,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. right response
9600,9.600,K,1,0,tap,opening rehearsal,hard_intro_A,Opening left-to-right riff with a small chord lift. right cadence
