time_ms,time_sec,lanes,lane_count,duration_ms,type,section,pattern,intent
1200,1.200,D,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. downbeat anchor
2400,2.400,F,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. wide single-note response
3000,3.000,J,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. gentle pickup
3600,3.600,K,1,0,tap,calm intro,calm_B,Reverse-side anchor plus one easy hold. reverse-side anchor
4500,4.500,J,1,600,hold,calm intro,calm_B,Reverse-side anchor plus one easy hold. easy hold check
5400,5.400,F,1,0,tap,calm intro,calm_B,Reverse-side anchor plus one easy hold. return pickup
6000,6.000,D,1,0,tap,calm intro,calm_C,Two-note spacious call and response. repeatable left anchor
7200,7.200,J,1,0,tap,calm intro,calm_C,Two-note spacious call and response. center-right response
8400,8.400,F,1,0,tap,calm intro,calm_D,"Inner-lane start, right hold, late pickup. soft inner-lane anchor"
9600,9.600,K,1,600,hold,calm intro,calm_D,"Inner-lane start, right hold, late pickup. right hold check"
10500,10.500,D,1,0,tap,calm intro,calm_D,"Inner-lane start, right hold, late pickup. late pickup into next bar"
10800,10.800,D,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. downbeat anchor
12000,12.000,F,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. wide single-note response
12600,12.600,J,1,0,tap,calm intro,calm_A,Sparse left-to-right single notes for first-read timing. gentle pickup
13200,13.200,K,1,0,tap,calm intro,calm_B,Reverse-side anchor plus one easy hold. reverse-side anchor
14100,14.100,J,1,600,hold,calm intro,calm_B,Reverse-side anchor plus one easy hold. easy hold check
15000,15.000,F,1,0,tap,calm intro,calm_B,Reverse-side anchor plus one easy hold. return pickup
15600,15.600,D,1,0,tap,calm intro,calm_C,Two-note spacious call and response. repeatable left anchor
18000,18.000,K,1,600,hold,easy verse,easy_D,K hold followed by J -> F D answer. right hold over the groove
18900,18.900,J,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. reverse half-loop setup
19200,19.200,F,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. left answer
19500,19.500,D,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. left answer completion
20400,20.400,D,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 1
20700,20.700,F,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 1-and
21300,21.300,J,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 2-and
21900,21.900,K,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 3-and
22800,22.800,K,1,0,tap,easy verse,easy_B,K J F D reverse loop fragment. KJFD reverse loop beat 1
23100,23.100,J,1,0,tap,easy verse,easy_B,K J F D reverse loop fragment. KJFD reverse loop beat 1-and
23700,23.700,F,1,0,tap,easy verse,easy_B,K J F D reverse loop fragment. KJFD reverse loop beat 2-and
24300,24.300,D,1,0,tap,easy verse,easy_B,K J F D reverse loop fragment. KJFD reverse loop beat 3-and
25200,25.200,D,1,600,hold,easy verse,easy_C,D hold followed by F -> J K answer. left hold over the groove
26100,26.100,F,1,0,tap,easy verse,easy_C,D hold followed by F -> J K answer. DF half-loop setup
26400,26.400,J,1,0,tap,easy verse,easy_C,D hold followed by F -> J K answer. answer on right hand
26700,26.700,K,1,0,tap,easy verse,easy_C,D hold followed by F -> J K answer. answer completion
27600,27.600,K,1,600,hold,easy verse,easy_D,K hold followed by J -> F D answer. right hold over the groove
28500,28.500,J,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. reverse half-loop setup
28800,28.800,F,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. left answer
29100,29.100,D,1,0,tap,easy verse,easy_D,K hold followed by J -> F D answer. left answer completion
30000,30.000,D,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 1
30300,30.300,F,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 1-and
30900,30.900,J,1,0,tap,easy verse,easy_A,D F J K loop fragment with open beats. DFJK loop beat 2-and
32400,32.400,K,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. K J to F D call
32700,32.700,J,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. K J to F D call
33300,33.300,F,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. F D answer
33600,33.600,D,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. F D answer
34200,34.200,F+K,2,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. second readable 2-key chord
34800,34.800,D,1,600,hold,build up,build_hold,Build-up hold check with simple follow-up taps. short left hold during build
35400,35.400,F,1,0,tap,build up,build_hold,Build-up hold check with simple follow-up taps. inner tap after hold
36000,36.000,J,1,0,tap,build up,build_hold,Build-up hold check with simple follow-up taps. right answer
36600,36.600,K,1,0,tap,build up,build_hold,Build-up hold check with simple follow-up taps. right pickup
37200,37.200,D,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. DFJK 8th loop start"
37500,37.500,F,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. DFJK 8th loop"
37800,37.800,J,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. DFJK 8th loop"
38100,38.100,K,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. DFJK 8th loop"
38700,38.700,D,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. left reset"
39300,39.300,F,1,0,tap,build up,build_A,"DFJK 8th-note motion, no chord yet. pickup"
39600,39.600,K,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. KJFD reverse loop start
39900,39.900,J,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. KJFD reverse loop
40200,40.200,F,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. KJFD reverse loop
40500,40.500,D,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. KJFD reverse loop
41100,41.100,K,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. right reset
41700,41.700,J,1,0,tap,build up,build_B,KJFD reverse 8th-note motion. pickup
42000,42.000,D,1,0,tap,build up,build_C,D F -> J K call/answer ending with D+J. D F to J K call
42300,42.300,F,1,0,tap,build up,build_C,D F -> J K call/answer ending with D+J. D F to J K call
42900,42.900,J,1,0,tap,build up,build_C,D F -> J K call/answer ending with D+J. J K answer
43200,43.200,K,1,0,tap,build up,build_C,D F -> J K call/answer ending with D+J. J K answer
43800,43.800,D+J,2,0,tap,build up,build_C,D F -> J K call/answer ending with D+J. first readable 2-key chord
44400,44.400,K,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. K J to F D call
44700,44.700,J,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. K J to F D call
45300,45.300,F,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. F D answer
45600,45.600,D,1,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. F D answer
46200,46.200,F+K,2,0,tap,build up,build_D,K J -> F D call/answer ending with F+K. second readable 2-key chord
