"time_ms","time_sec","lanes","lane_count","duration_ms","type","section","pattern","intent"
"4616","4.616","D","1","0","tap","single notes only","single_intro","quarter-beat training note on the stable 93 BPM grid"
"5906","5.906","F","1","0","tap","single notes only","single_intro","quarter-beat training note on the stable 93 BPM grid"
"7197","7.197","J","1","0","tap","single notes only","single_intro","quarter-beat training note on the stable 93 BPM grid"
"8487","8.487","K","1","0","tap","single notes only","single_intro","quarter-beat training note on the stable 93 BPM grid"
"9777","9.777","D","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"10422","10.422","F","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"12358","12.358","J","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"13003","13.003","K","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"14939","14.939","D","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"16229","16.229","F","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"17519","17.519","J","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"18810","18.810","K","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"21390","21.390","K","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"22681","22.681","J","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"23971","23.971","F","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"25261","25.261","D","1","0","tap","single notes only","single_straight_walk","quarter-beat training note on the stable 93 BPM grid"
"26551","26.551","D","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"31713","31.713","F","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"36874","36.874","J","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"42035","42.035","K","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"47197","47.197","F","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"51068","51.068","J","1","1290","hold","hold notes only","hold_straight","two-beat hold starting exactly on a quarter beat"
"53648","53.648","D+J","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"57519","57.519","F+K","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"61390","61.390","D+K","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"65261","65.261","F+J","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"69132","69.132","D+J","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"73003","73.003","F+K","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"76874","76.874","D+K","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"78164","78.164","F+J","2","0","chord","two key notes only","chord_straight","two-key lesson placed on a clear quarter beat"
"79455","79.455","D","1","0","tap","gentle review","review_single","mixed review starts on a downbeat"
"80745","80.745","F","1","0","tap","gentle review","review_single","single-note answer two beats later"
"82035","82.035","J","1","1290","hold","gentle review","review_hold","two-beat review hold"
"84616","84.616","D+J","2","0","chord","gentle review","review_chord","split chord on a downbeat"
"87197","87.197","K","1","0","tap","gentle review","review_single","single recovery note"
"88487","88.487","F","1","1290","hold","gentle review","review_hold","second two-beat review hold"
"91068","91.068","F+K","2","0","chord","gentle review","review_chord","bright split chord"
"93648","93.648","J","1","0","tap","gentle review","review_single","single answer"
"96229","96.229","D+K","2","0","chord","gentle review","review_chord","outer chord on the steady grid"
"98810","98.810","J","1","1290","hold","gentle review","review_hold","final hold review"
"101390","101.390","F+J","2","0","chord","gentle review","review_chord","inner chord recap"
"103971","103.971","D+K","2","0","chord","gentle review","review_chord","final straight-beat chord"
