"time_ms","time_sec","lanes","lane_count","duration_ms","type","section","pattern","intent"
"4584","4.584","D","1","0","tap","ready intro","classroom_soft_call","first classroom downbeat after the four-second preparation Straight-beat revision: snapped to quarter-beat 1."
"5749","5.749","F","1","0","tap","ready intro","classroom_soft_call","left-hand answer on the stronger late pulse Straight-beat revision: snapped to quarter-beat 3."
"6914","6.914","K","1","0","tap","ready intro","classroom_soft_call","right-side call matching the brighter answer Straight-beat revision: snapped to quarter-beat 5."
"8079","8.079","J","1","0","tap","ready intro","classroom_soft_call","soft reply instead of a full run Straight-beat revision: snapped to quarter-beat 7."
"9244","9.244","D","1","583","hold","ready intro","classroom_hold_breath","first friendly sustain on a strong classroom accent Straight-beat revision: snapped to quarter-beat 9."
"10409","10.409","K","1","0","tap","ready intro","classroom_hold_breath","clean tap after the sustain ends Straight-beat revision: snapped to quarter-beat 11."
"11574","11.574","F","1","0","tap","ready intro","classroom_walk","short pickup into the groove Straight-beat revision: snapped to quarter-beat 13."
"12739","12.739","J","1","0","tap","ready intro","classroom_walk","right-hand answer before the groove begins Straight-beat revision: snapped to quarter-beat 15."
"13904","13.904","D","1","0","tap","classroom groove","classroom_walk","D F call begins the second-song groove Straight-beat revision: snapped to quarter-beat 17."
"14486","14.486","F","1","0","tap","classroom groove","classroom_walk","left lift on the beat Straight-beat revision: snapped to quarter-beat 18."
"15069","15.069","J","1","0","tap","classroom groove","classroom_walk","right answer follows the melodic lift Straight-beat revision: snapped to quarter-beat 19."
"15651","15.651","K","1","0","tap","classroom groove","classroom_walk","reverse call starts Straight-beat revision: snapped to quarter-beat 20."
"16234","16.234","J","1","0","tap","classroom groove","classroom_walk","reverse lift Straight-beat revision: snapped to quarter-beat 21."
"17399","17.399","F","1","0","tap","classroom groove","classroom_walk","left answer with breathing room Straight-beat revision: snapped to quarter-beat 23."
"17982","17.982","D","1","0","tap","classroom groove","classroom_answer_chord","single lead-in before a friendly split-hand hit Straight-beat revision: snapped to quarter-beat 24."
"19147","19.147","F","1","0","tap","classroom groove","classroom_answer_chord","pickup into chord Straight-beat revision: snapped to quarter-beat 26."
"19729","19.729","D+J","2","0","chord","classroom groove","classroom_answer_chord","split-hand reward on the stronger phrase ending Straight-beat revision: snapped to quarter-beat 27."
"20312","20.312","F","1","583","hold","classroom groove","classroom_hold_breath","short inner hold in a less dense bar Straight-beat revision: snapped to quarter-beat 28."
