"time_ms","time_sec","lanes","lane_count","duration_ms","type","section","pattern","intent"
"4449","4.449","D","1","0","tap","opening stare","recruit_contact","first question after preparation silence Straight-beat revision: snapped to quarter-beat 1."
"5773","5.773","J","1","0","tap","opening stare","recruit_contact","right-side answer Straight-beat revision: snapped to quarter-beat 4."
"7096","7.096","K","1","0","tap","opening stare","recruit_contact","counter-question on the next phrase Straight-beat revision: snapped to quarter-beat 7."
"8420","8.420","F","1","0","tap","opening stare","recruit_contact","soft left reply to the counter Straight-beat revision: snapped to quarter-beat 10."
"9743","9.743","D","1","882","hold","opening stare","recruit_hold_suspense","short offer sustain Straight-beat revision: snapped to quarter-beat 13."
"11067","11.067","J","1","0","tap","opening stare","recruit_hold_suspense","reply after the offer Straight-beat revision: snapped to quarter-beat 16."
"11949","11.949","F","1","0","tap","opening stare","recruit_contact","small nudge before the groove Straight-beat revision: snapped to quarter-beat 18."
"13273","13.273","J","1","0","tap","opening stare","recruit_contact","answer on a mid-bar pulse Straight-beat revision: snapped to quarter-beat 21."
"14596","14.596","D","1","0","tap","opening stare","recruit_contact","opening final anchor Straight-beat revision: snapped to quarter-beat 24."
"16361","16.361","D+J","2","0","chord","opening stare","recruit_offer_chord","first agreement-like split chord Straight-beat revision: snapped to quarter-beat 28."
"17243","17.243","D","1","0","tap","push and pull","recruit_push","left question begins the persuasion loop Straight-beat revision: snapped to quarter-beat 30."
"18126","18.126","F","1","0","tap","push and pull","recruit_push","left nudge Straight-beat revision: snapped to quarter-beat 32."
"19008","19.008","J","1","0","tap","push and pull","recruit_push","right answer follows the music phrase Straight-beat revision: snapped to quarter-beat 34."
"19449","19.449","K","1","0","tap","push and pull","recruit_push","right close Straight-beat revision: snapped to quarter-beat 35."
"19890","19.890","K","1","0","tap","push and pull","recruit_answer","right counter-question Straight-beat revision: snapped to quarter-beat 36."
"20773","20.773","J","1","0","tap","push and pull","recruit_answer","counter nudge Straight-beat revision: snapped to quarter-beat 38."
"21655","21.655","F","1","0","tap","push and pull","recruit_answer","left answer Straight-beat revision: snapped to quarter-beat 40."
"22096","22.096","D","1","0","tap","push and pull","recruit_answer","left close Straight-beat revision: snapped to quarter-beat 41."
"22537","22.537","D","1","0","tap","push and pull","recruit_push","left question begins the persuasion loop Straight-beat revision: snapped to quarter-beat 42."
"23420","23.420","F","1","0","tap","push and pull","recruit_push","left nudge Straight-beat revision: snapped to quarter-beat 44."
"23861","23.861","J","1","0","tap","push and pull","recruit_push","right answer follows the music phrase Straight-beat revision: snapped to quarter-beat 45."
"24743","24.743","D+J","2","0","chord","push and pull","recruit_offer_chord","split-hand agreement accent Straight-beat revision: snapped to quarter-beat 47."
"25184","25.184","K","1","0","tap","push and pull","recruit_answer","right counter-question Straight-beat revision: snapped to quarter-beat 48."
"26067","26.067","J","1","0","tap","push and pull","recruit_answer","counter nudge Straight-beat revision: snapped to quarter-beat 50."
"26508","26.508","F","1","0","tap","push and pull","recruit_answer","left answer Straight-beat revision: snapped to quarter-beat 51."
"27390","27.390","D","1","0","tap","push and pull","recruit_answer","left close Straight-beat revision: snapped to quarter-beat 53."
"27832","27.832","D","1","0","tap","push and pull","recruit_push","left question begins the persuasion loop Straight-beat revision: snapped to quarter-beat 54."
"28273","28.273","F","1","0","tap","push and pull","recruit_push","left nudge Straight-beat revision: snapped to quarter-beat 55."
"29155","29.155","J","1","0","tap","push and pull","recruit_push","right answer follows the music phrase Straight-beat revision: snapped to quarter-beat 57."
"30037","30.037","D+J","2","0","chord","push and pull","recruit_offer_chord","split-hand agreement accent Straight-beat revision: snapped to quarter-beat 59."
"30479","30.479","K","1","0","tap","push and pull","recruit_answer","right counter-question Straight-beat revision: snapped to quarter-beat 60."
